id,product_title,quantity,no,product,set,category
2,amd ryzen 5 1600,3964,1,AMD Ryzen 5 1600 Box,696,CPUs
3,amd ryzen 5 1600 box pliromi ke se eos 36 dosis,4814,1,AMD Ryzen 5 1600 Box,696,CPUs
4,amd ryzen 5 1600 yd1600bbaebox,4835,1,AMD Ryzen 5 1600 Box,696,CPUs
5,amd ryzen 5 1600 box yd1600bbaebox,2976,1,AMD Ryzen 5 1600 Box,696,CPUs
6,amd ryzen 5 1600 yd1600bbaebox,3427,1,AMD Ryzen 5 1600 Box,696,CPUs
7,amd ryzen 5 1600,1996,1,AMD Ryzen 5 1600 Box,696,CPUs
8,amd ryzen 5 1600,1712,1,AMD Ryzen 5 1600 Box,696,CPUs
9,amd ryzen 5 1600 eos 24 dosis,3054,1,AMD Ryzen 5 1600 Box,696,CPUs
10,amd ryzen 5 1600 box am4 3 4 ghz,282,1,AMD Ryzen 5 1600 Box,696,CPUs
11,amd ryzen 5 1600 box yd1600bbaebox pliromi eos ke 36 dosis,4691,1,AMD Ryzen 5 1600 Box,696,CPUs
12,amd cpu ryzen 5 1600 6c/12t 3.2 3.6ghz yd1600bbaebox cache 3mb l2 16mb l3 socket am4 box 3yw,1840,1,AMD Ryzen 5 1600 Box,696,CPUs
13,amd ryzen 5 1600 3.20ghz 19mb yd1600bbaebox,251,1,AMD Ryzen 5 1600 Box,696,CPUs
14,epexergastis cpu ryzen 5 1600 am4 3.60ghz 19mb,336,1,AMD Ryzen 5 1600 Box,696,CPUs
15,amd ryzen 5 1600 3.2 ghz six core socket am4 65w box yd1600bbaebox,54,1,AMD Ryzen 5 1600 Box,696,CPUs
16,epexergastis amd ryzen 5 1600 6 core processor 3.2ghz yd1600bbaebox,4455,1,AMD Ryzen 5 1600 Box,696,CPUs
17,amd ryzen 5 1600 6 core processor 3.2ghz yd1600bbaebox,3032,1,AMD Ryzen 5 1600 Box,696,CPUs
18,amd cpu ryzen 5 1600 up to 3.7ghz/19mb sam4 6 core yd1600bbaebox,7,1,AMD Ryzen 5 1600 Box,696,CPUs
19,amd ryzen 5 1600 with wraith spire cooling yd1600bbaebox,4223,1,AMD Ryzen 5 1600 Box,696,CPUs
20,amd ryzen 5 1600 box,4951,1,AMD Ryzen 5 1600 Box,696,CPUs
21,amd epexergastis ryzen 5 1600 yd1600bbaebox,2946,1,AMD Ryzen 5 1600 Box,696,CPUs
22,amd ryzen 5 1600 3.4 ghz 6 core 12 threads yd1600bbaebox,101,1,AMD Ryzen 5 1600 Box,696,CPUs
23,amd ryzen 5 1600 box epexergastis cpu am4 3.20mhz 6 cores yd1600bbaebox,1509,1,AMD Ryzen 5 1600 Box,696,CPUs
24,amd ryzen 5 1600 6 core processor 3.2ghz yd1600bbaebox,4657,1,AMD Ryzen 5 1600 Box,696,CPUs
25,amd ryzen 5 1600 am4 6 core 3.2 3.6ghz yd1600bbaebox eos 36 dosis,299,1,AMD Ryzen 5 1600 Box,696,CPUs
26,amd cpu ryzen 5 1600 6c/12t 3.2 3.6ghz cache 3mb l2 16mb l3 socket am4 box 3yw. yd1600bbaebox,3331,1,AMD Ryzen 5 1600 Box,696,CPUs
26,amd cpu ryzen 5 1600 6c/12t 3.2 3.6ghz cache 3mb l2 16mb l3 socket am4 box 3yw. yd1600bbaebox,3331,1,AMD Ryzen 5 1600 Box,696,PC
